Filename,Reason for failure
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1400N_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1400N_1_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1401J_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1400N_3_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1401J_1_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1400N_2_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1403N_2_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1403N_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1401J_2_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1403N_1_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1403N_4_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1406M_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1406M_1_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1406M_2_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1406M_3_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1408N_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1408N_1_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1409D_1_HPC_encoding_soz_in_hamming.p,Ripple array is empty
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1404E_0_HPC_encoding_soz_in_hamming.p,Program ran 0
